date,product,quantity,unit_price,sales_rep,region
2025-04-02,Mouse,1,1079,Erika Chapman,North
2025-04-15,Laptop,1,200,Donna Webster,East
2025-04-06,Monitor,6,555,Deborah Small,East
2025-04-15,Monitor,8,1847,Brandi Benjamin,South
2025-04-08,Chair,9,1536,Harold Lynch,East
2025-04-15,Laptop,2,480,Tammie Goodman,West
2025-04-23,Monitor,5,496,Samuel Moreno,North
2025-04-15,Keyboard,9,1148,Ryan Simmons,North
2025-04-12,Chair,4,859,Susan Rodriguez,North
2025-04-27,Desk,1,1590,Linda Walker,North
2025-04-05,Chair,9,1260,Amy Koch,East
2025-04-04,Monitor,2,1165,Pamela Mccarthy,West
2025-04-03,Mouse,7,1859,Daniel Harris,North
2025-04-26,Chair,2,416,Debra Kim,North
2025-04-01,Desk,4,452,Juan Lewis,South
2025-04-03,Laptop,7,119,Gregory Winters,East
2025-04-20,Desk,1,1508,Mathew Johnson,West
2025-04-09,Desk,8,1208,Dr. Jacob Pitts,East
2025-04-08,Keyboard,7,126,Amy Garcia,North
2025-04-19,Laptop,4,1853,Mark Sandoval,West
2025-04-01,Mouse,1,471,Steven Walker,East
2025-04-09,Mouse,8,1787,Richard Brennan,West
2025-04-12,Monitor,5,326,Brooke Kennedy,West
2025-04-18,Laptop,7,1798,Jason Johnson,East
2025-04-15,Laptop,1,1216,Jerry Richardson,South
2025-04-20,Chair,9,841,Tammy Harrison,East
2025-04-10,Chair,6,1951,Michael Harper,East
2025-04-11,Mouse,5,1334,Scott Hall,North
2025-04-06,Mouse,1,267,Nathan Coleman,South
2025-04-12,Monitor,6,1942,Gregg Brooks,North
2025-04-20,Mouse,7,1685,Kara Harrison,East
2025-04-15,Mouse,4,1387,Tracy King,East
2025-04-02,Monitor,7,648,Brian Hall,East
2025-04-21,Desk,3,1712,Ricardo Allen,South
2025-04-21,Mouse,8,1340,Dawn Bradley,East
2025-04-02,Desk,3,910,Scott Hill,East
2025-04-05,Laptop,9,1827,Jordan West,East
2025-04-10,Monitor,6,1838,Michelle Fernandez,North
2025-04-18,Mouse,7,1611,Terry Long,West
2025-04-25,Desk,2,471,Jeffrey Jones DDS,East
2025-04-16,Keyboard,4,1594,Joseph Moore,West
2025-04-22,Desk,5,1446,Steven Martinez,South
2025-04-25,Desk,9,1169,Janice Avila,North
2025-04-18,Laptop,6,836,Richard Anderson,East
2025-04-21,Desk,9,287,Kevin Lopez,West
2025-04-09,Keyboard,6,900,Joshua Zimmerman,North
2025-04-22,Mouse,3,860,Tina Mendez,West
2025-04-16,Mouse,1,1681,Paul Fry,East
2025-04-16,Chair,2,411,Brian Robinson,East
2025-04-02,Chair,8,1685,Jodi Smith,West
2025-02-14,Monitor,3,365,Hayley Zamora,North
2025-02-24,Keyboard,1,139,Joshua Wilson,North
2025-02-19,Mouse,3,1887,Cynthia Snyder,West
2025-02-11,Monitor,6,1602,Amy Moore,East
2025-02-24,Chair,5,975,Jacob Burton DDS,East
2025-02-22,Monitor,5,1523,Keith Thompson,South
2025-02-08,Laptop,4,1905,Megan Nielsen DDS,North
2025-02-02,Laptop,7,1648,Janice Dixon,West
2025-02-09,Monitor,7,474,Mary Gaines,West
2025-02-13,Mouse,8,640,James Thomas,East
2025-02-26,Keyboard,6,1721,Brittany Daniels,South
2025-02-02,Laptop,7,392,Timothy Burch,East
2025-02-18,Desk,8,1794,Shelby Beard,West
2025-02-18,Laptop,8,1498,Jerry Forbes,East
2025-02-05,Keyboard,2,894,Kevin Ho,South
2025-02-04,Monitor,9,536,Kyle Cooper,West
2025-02-20,Mouse,4,290,Annette Bass,South
2025-02-09,Chair,6,1288,Mark Sullivan,South
2025-02-18,Monitor,2,836,Joel Valencia,East
2025-02-09,Mouse,6,670,Joann Fischer,North
2025-02-27,Laptop,1,1051,Savannah Carpenter,North
2025-02-03,Mouse,5,735,Angelica Holt,South
2025-02-11,Laptop,9,953,Jonathan Day,North
2025-02-25,Keyboard,8,1411,Tim Wong,North
2025-02-13,Mouse,4,1062,Luke Eaton,South
2025-02-24,Monitor,1,923,Tina Ward,South
2025-02-07,Desk,5,451,Angela Washington,South
2025-02-13,Desk,6,260,Yesenia King,East
2025-02-12,Mouse,2,1806,Richard Henson Jr.,North
2025-02-04,Keyboard,5,46,Christopher Brown,East
2025-02-04,Mouse,5,536,Mrs. Becky Rose,West
2025-02-01,Mouse,8,1146,April Stanton,South
2025-02-20,Desk,7,817,Kristina May,West
2025-02-10,Desk,5,473,Dawn Kirby,North
