date,product,quantity,unit_price,sales_rep,region
2025-02-14,Monitor,3,365,Hayley Zamora,North
2025-02-24,Keyboard,1,139,Joshua Wilson,North
2025-02-19,Mouse,3,1887,Cynthia Snyder,West
2025-02-11,Monitor,6,1602,Amy Moore,East
2025-02-24,Chair,5,975,Jacob Burton DDS,East
2025-02-22,Monitor,5,1523,Keith Thompson,South
2025-02-08,Laptop,4,1905,Megan Nielsen DDS,North
2025-02-02,Laptop,7,1648,Janice Dixon,West
2025-02-09,Monitor,7,474,Mary Gaines,West
2025-02-13,Mouse,8,640,James Thomas,East
2025-02-26,Keyboard,6,1721,Brittany Daniels,South
2025-02-02,Laptop,7,392,Timothy Burch,East
2025-02-18,Desk,8,1794,Shelby Beard,West
2025-02-18,Laptop,8,1498,Jerry Forbes,East
2025-02-05,Keyboard,2,894,Kevin Ho,South
2025-02-04,Monitor,9,536,Kyle Cooper,West
2025-02-20,Mouse,4,290,Annette Bass,South
2025-02-09,Chair,6,1288,Mark Sullivan,South
2025-02-18,Monitor,2,836,Joel Valencia,East
2025-02-09,Mouse,6,670,Joann Fischer,North
2025-02-27,Laptop,1,1051,Savannah Carpenter,North
2025-02-03,Mouse,5,735,Angelica Holt,South
2025-02-11,Laptop,9,953,Jonathan Day,North
2025-02-25,Keyboard,8,1411,Tim Wong,North
2025-02-13,Mouse,4,1062,Luke Eaton,South
2025-02-24,Monitor,1,923,Tina Ward,South
2025-02-07,Desk,5,451,Angela Washington,South
2025-02-13,Desk,6,260,Yesenia King,East
2025-02-12,Mouse,2,1806,Richard Henson Jr.,North
2025-02-04,Keyboard,5,46,Christopher Brown,East
2025-02-04,Mouse,5,536,Mrs. Becky Rose,West
2025-02-01,Mouse,8,1146,April Stanton,South
2025-02-20,Desk,7,817,Kristina May,West
2025-02-10,Desk,5,473,Dawn Kirby,North
2025-02-26,Laptop,5,712,Jeffrey Hayes,South
2025-02-12,Mouse,7,1303,David Smith,West
2025-02-20,Desk,5,1229,Diana Lang,East
2025-02-21,Laptop,4,127,Jeffery Mccoy,West
2025-02-05,Mouse,8,413,Kristen Campbell,East
2025-02-27,Desk,6,40,Michelle Washington,West
2025-02-14,Monitor,3,377,Brian Fisher,South
2025-02-23,Laptop,1,1513,Lisa Henderson,South
2025-02-12,Monitor,6,1262,Chelsea Goodwin,South
2025-02-13,Keyboard,3,1916,Justin Dixon,North
2025-02-16,Monitor,3,1897,Stacy Cook,West
2025-02-11,Laptop,4,154,Alexandra Taylor,East
2025-02-23,Keyboard,3,730,Natasha Sosa,South
2025-02-02,Keyboard,2,979,John Johnson,East
2025-02-16,Chair,4,1528,Kyle Roy,North
2025-02-05,Monitor,3,1222,Justin Meyer,South
