date,product,quantity,unit_price,sales_rep,region
2025-05-11,Mouse,3,103,Laura Mcmahon,West
2025-05-24,Desk,2,106,Amy Harris,East
2025-05-11,Chair,4,1360,Robert Wall,West
2025-05-21,Mouse,6,1999,Emma Avila,South
2025-05-12,Monitor,1,777,Michael Ray,North
2025-05-08,Chair,2,828,April Espinoza,South
2025-05-13,Chair,5,1519,Kyle Baker,West
2025-05-23,Keyboard,3,158,Robert Taylor,East
2025-05-14,Mouse,7,965,Christina Meadows,South
2025-05-01,Monitor,1,376,Patricia Young,North
2025-05-01,Monitor,8,470,Timothy Woods,North
2025-05-17,Chair,6,1695,Casey Garcia,East
2025-05-26,Mouse,3,1443,Charles Hernandez,North
2025-05-06,Mouse,2,1860,Sarah Miller,West
2025-05-10,Chair,9,116,Alyssa Bird,East
2025-05-18,Mouse,7,193,Jesse Davis,South
2025-05-19,Chair,9,940,Jesse Adams,West
2025-05-21,Keyboard,7,57,Jennifer Smith,South
2025-05-27,Chair,7,1503,Kevin Roberts,South
2025-05-25,Monitor,3,1595,Lindsey Dennis,North
2025-05-06,Keyboard,2,236,George Williams,North
2025-05-17,Keyboard,5,76,Lisa White,East
2025-05-23,Monitor,9,1378,Jamie Cain,South
2025-05-23,Keyboard,5,785,Denise Villegas,West
2025-05-11,Keyboard,9,1669,Lori Williams,West
2025-05-27,Desk,8,365,Caitlin Abbott,North
2025-05-07,Chair,1,1864,Anthony Phelps,West
2025-05-03,Chair,4,761,Rebecca Palmer,West
2025-05-03,Chair,8,1276,Diane Williams MD,South
2025-05-18,Monitor,2,1580,Lori Weber,East
2025-05-03,Mouse,5,1655,Sean Joyce,East
2025-05-20,Monitor,8,222,Daniel Phillips,South
2025-05-09,Monitor,7,71,Arthur Phillips,West
2025-05-03,Keyboard,7,73,Phillip Watson,West
2025-05-07,Laptop,1,309,Benjamin Thompson,South
2025-05-10,Keyboard,3,1832,Mrs. Laura Cortez,East
2025-05-08,Monitor,2,689,Evelyn Brown,North
2025-05-02,Chair,6,1806,Tom Patton,East
2025-05-24,Mouse,7,1411,Joseph Green,East
2025-05-01,Chair,9,1609,Alyssa Lane,North
2025-05-21,Laptop,9,1100,David Randolph,North
2025-05-21,Laptop,6,176,Joann Rubio,East
2025-05-19,Chair,5,630,Roger West,South
2025-05-11,Monitor,8,767,Michael Wilson,South
2025-05-26,Chair,8,1963,Timothy Mcdaniel,East
2025-05-11,Monitor,3,1038,Mary Woods,North
2025-05-23,Laptop,4,396,Denise Fowler,East
2025-05-25,Desk,7,1856,Tammy Stevenson MD,West
2025-05-10,Mouse,3,205,Robert Matthews MD,West
2025-05-04,Mouse,7,1525,Kimberly Johnson,East
